step 3650000	, total energy: 1892219.47
step 3660000	, total energy: 1895774.09
step 3670000	, total energy: 1900133.32
step 3680000	, total energy: 1893339.66
step 3690000	, total energy: 1887902.73
step 3700000	, total energy: 1894072.74
step 3710000	, total energy: 1895867.99
step 3720000	, total energy: 1893327.31
step 3730000	, total energy: 1886682.50
step 3740000	, total energy: 1894212.03
step 3750000	, total energy: 1892429.36
step 3760000	, total energy: 1892115.55
step 3770000	, total energy: 1897146.53
step 3780000	, total energy: 1898535.13
step 3790000	, total energy: 1891322.34
step 3800000	, total energy: 1884563.80
step 3810000	, total energy: 1888152.22
step 3820000	, total energy: 1888469.36
step 3830000	, total energy: 1885598.02
step 3840000	, total energy: 1891490.45
step 3850000	, total energy: 1895557.27
step 3860000	, total energy: 1897284.24
step 3870000	, total energy: 1896919.25
step 3880000	, total energy: 1898508.08
step 3890000	, total energy: 1896756.05
step 3900000	, total energy: 1902932.24
step 3910000	, total energy: 1894743.32
step 3920000	, total energy: 1899273.70
step 3930000	, total energy: 1900109.61
step 3940000	, total energy: 1911482.97
step 3950000	, total energy: 1920689.51
step 3960000	, total energy: 1920064.18
step 3970000	, total energy: 1913829.79
step 3980000	, total energy: 1915124.66
step 3990000	, total energy: 1907134.95
step 4000000	, total energy: 1903115.20
step 4010000	, total energy: 1910717.86
step 4020000	, total energy: 1902895.74
step 4030000	, total energy: 1902762.40
step 4040000	, total energy: 1903371.63
step 4050000	, total energy: 1902857.46
step 4060000	, total energy: 1906120.69
step 4070000	, total energy: 1894262.31
step 4080000	, total energy: 1887279.00
step 4090000	, total energy: 1888865.88
step 4100000	, total energy: 1883311.09
step 4110000	, total energy: 1885008.68
step 4120000	, total energy: 1885959.96
step 4130000	, total energy: 1883447.81
step 4140000	, total energy: 1888305.76
step 4150000	, total energy: 1893452.31
step 4160000	, total energy: 1892323.58
step 4170000	, total energy: 1894019.38
step 4180000	, total energy: 1901223.06
step 4190000	, total energy: 1907032.10
step 4200000	, total energy: 1903610.79
step 4210000	, total energy: 1893694.48
step 4220000	, total energy: 1899379.29
step 4230000	, total energy: 1904269.19
step 4240000	, total energy: 1902647.07
step 4250000	, total energy: 1912803.46
step 4260000	, total energy: 1909159.76
step 4270000	, total energy: 1910602.19
step 4280000	, total energy: 1922985.53
step 4290000	, total energy: 1917098.00
step 4300000	, total energy: 1925541.11
step 4310000	, total energy: 1920791.21
step 4320000	, total energy: 1924118.71
step 4330000	, total energy: 1914733.49
step 4340000	, total energy: 1924266.48
step 4350000	, total energy: 1917469.74
step 4360000	, total energy: 1915650.86
step 4370000	, total energy: 1909220.41
step 4380000	, total energy: 1913941.05
step 4390000	, total energy: 1914268.18
step 4400000	, total energy: 1914533.26
step 4410000	, total energy: 1917139.03
step 4420000	, total energy: 1916030.36
step 4430000	, total energy: 1924277.72
step 4440000	, total energy: 1921784.60
step 4450000	, total energy: 1919006.90
step 4460000	, total energy: 1919890.50
step 4470000	, total energy: 1912138.01
step 4480000	, total energy: 1914611.84
step 4490000	, total energy: 1913450.87
step 4500000	, total energy: 1920027.40
step 4510000	, total energy: 1929271.78
step 4520000	, total energy: 1931552.12
step 4530000	, total energy: 1919617.51
step 4540000	, total energy: 1908164.32
step 4550000	, total energy: 1911059.09
step 4560000	, total energy: 1909569.40
step 4570000	, total energy: 1922022.17
step 4580000	, total energy: 1918935.51
step 4590000	, total energy: 1915857.83
step 4600000	, total energy: 1913141.21
step 4610000	, total energy: 1910232.64
step 4620000	, total energy: 1910706.64
step 4630000	, total energy: 1912068.99
step 4640000	, total energy: 1909424.29
step 4650000	, total energy: 1910658.21
step 4660000	, total energy: 1902568.26
step 4670000	, total energy: 1895438.22
step 4680000	, total energy: 1892997.22
step 4690000	, total energy: 1888685.51
step 4700000	, total energy: 1888605.21
step 4710000	, total energy: 1889972.55
step 4720000	, total energy: 1884524.24
step 4730000	, total energy: 1879933.25
step 4740000	, total energy: 1878170.94
step 4750000	, total energy: 1868587.74
step 4760000	, total energy: 1879478.02
step 4770000	, total energy: 1886358.35
step 4780000	, total energy: 1878964.17
step 4790000	, total energy: 1880357.04
step 4800000	, total energy: 1879258.61
step 4810000	, total energy: 1889817.21
step 4820000	, total energy: 1902361.53
step 4830000	, total energy: 1887390.80
